latitude,longitude,elevation
52.803838055,-6.504206122,248
52.80354845,-6.507433844,235
52.802895396,-6.508027103,235
52.802012329,-6.510340845,265
52.798939487,-6.513611433,227
52.799170326,-6.516976696,190
52.799608851,-6.519348938,180
52.800444409,-6.520773632,172
52.800952841,-6.523714472,161
52.793545411,-6.527493737,123
52.793898976,-6.528104449,133
52.794537481,-6.53140377,135
52.793692452,-6.531743569,144
52.792168851,-6.52935625,133
52.790134813,-6.527660832,134
52.788576218,-6.526260784,128
52.786613401,-6.525237667,136
52.784963685,-6.524100288,145
52.783399235,-6.522233847,123
52.782059364,-6.520723036,125
52.782348514,-6.526263781,192
52.783094173,-6.52805421,206
52.783166752,-6.531371778,223
52.783780127,-6.53518994,198
52.785077397,-6.538362761,211
52.785537171,-6.54249759,186
52.787236948,-6.547732526,201
52.788101957,-6.551594787,201
52.788812164,-6.555669856,228
52.788280934,-6.558540921,224
52.787972234,-6.561612095,213
52.785256329,-6.565903779,191
52.7850117,-6.566482475,191
52.784828555,-6.56954924,159
52.785283727,-6.570779367,159
52.786264635,-6.571265999,170
52.784665533,-6.571681537,157
52.783840348,-6.57367985,161
52.783696235,-6.574773952,161
52.782730294,-6.575531768,144
52.781967302,-6.577476015,145
52.780022142,-6.579199348,147
52.778910308,-6.583540772,154
52.778763009,-6.584375472,154
52.777636706,-6.584878847,154
52.775958682,-6.586593016,178
52.774485811,-6.584410567,192
52.771928409,-6.580966974,181
52.769535127,-6.576792407,163
52.7689555,-6.575670438,163
52.768612429,-6.573296185,135
52.767203828,-6.573860809,135
52.765123125,-6.573462138,154
52.763979405,-6.572514339,168
52.763442416,-6.5723245,168
52.762139365,-6.573818934,177
52.760874584,-6.575882361,186
52.759813684,-6.576590995,190
52.758271215,-6.576485768,184
52.757686448,-6.576245618,184
52.757108063,-6.575227606,184
52.755249315,-6.574977231,210
52.753262934,-6.574575524,252
52.750631525,-6.572847176,247
52.749659685,-6.575729881,233
52.750680104,-6.576888826,278
52.750678489,-6.579377024,285
52.750904163,-6.579836209,285
52.750350013,-6.58083912,285
52.749746602,-6.58298398,291
52.748722666,-6.584157563,318
52.747671604,-6.585694798,322
52.74746696,-6.58699724,322
52.74943729,-6.588695852,321
52.750788594,-6.585956672,337
52.752903825,-6.589257683,326
52.751925431,-6.591622002,329
52.752757559,-6.595483059,331
52.753299423,-6.596087697,333
52.75418572,-6.599221455,380
52.753811842,-6.60218833,339
52.751829507,-6.604791849,281
52.752056302,-6.605354817,281
52.750305946,-6.606291944,263
52.751673315,-6.610239765,242
52.751719327,-6.611482398,229
52.753527915,-6.61552019,220
52.755702198,-6.618561749,202
52.755371429,-6.61986826,188
52.755739588,-6.621774777,195
52.756278911,-6.622172488,171
52.75664162,-6.623612647,174
52.757300501,-6.626184066,183
52.757828165,-6.628293083,187
52.757572147,-6.630634121,187
52.756614205,-6.632115783,172
52.757198677,-6.633704622,161
52.757704729,-6.633948002,161
52.758388868,-6.636000395,176
52.756186162,-6.635913706,153
52.753089967,-6.634714492,162
52.750651048,-6.633235689,167
52.749462432,-6.632443564,168
52.749357346,-6.631513835,168
52.748748587,-6.630548076,181
52.749052228,-6.629605537,181
52.7472891,-6.62945355,192
52.745623292,-6.62955767,196
52.743586169,-6.630191709,195
52.741537671,-6.629841365,184
52.740754307,-6.627378378,198
52.740201679,-6.627188453,198
52.739999226,-6.626002879,203
52.740007837,-6.624033318,210
52.74071776,-6.622870816,219
52.74054008,-6.6211144,219
52.741568008,-6.620252738,236
52.742468994,-6.616596424,246
52.742362575,-6.61556327,246
52.741841373,-6.616719958,242
52.740284401,-6.61806487,263
52.738495252,-6.618380592,268
52.736224819,-6.617882403,255
52.735031851,-6.618075604,271
52.733950103,-6.619716132,236
52.733489331,-6.620663374,236
52.732772199,-6.621204167,215
52.731961342,-6.621799713,215
52.730634169,-6.621271647,196
52.731438873,-6.622852462,215
52.733394271,-6.623308971,173
52.734798742,-6.625078309,151
52.734466095,-6.626228751,151
52.732705961,-6.62633592,145
52.729865403,-6.625492632,129
52.729521346,-6.625658889,129
52.726520465,-6.625908705,95
52.725091175,-6.624710315,124
52.724295516,-6.623906481,101
52.721484576,-6.622907165,104
52.720414957,-6.622889069,90
